"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Vikarabad","aph",6.1,2.2,60.6,6.6,2.2,66.2,0.044954
"Vikarabad","epi",4.7,1.5,47.5,4.8,1.4,47.7,0.91864
"Vikarabad","gdm",4.4,1.5,44.1,5.3,1.6,53.1,2e-06
"Vikarabad","hrt",6.8,2.1,68,6.9,1.9,69.4,0.654075
"Vikarabad","htn",6.3,2,62.6,7.1,1.7,70.9,0.000282
"Vikarabad","jau",3.4,1.4,33.8,4.4,1.6,44,1.9e-05
"Vikarabad","lscs",7.7,1.9,76.6,7.6,1.8,75.7,0.776459
"Vikarabad","qanc",6.1,1.5,60.7,7.2,1.4,72.3,0
"Vikarabad","sob",6.4,1.6,63.6,6.5,1.7,65.1,0.550865
"Vikarabad","tb",5.1,1.9,50.9,4.9,1.8,48.5,0.384848
"Wanaparthy","ane",6.8,2,68.5,7.6,1.6,75.8,0.000622
"Wanaparthy","aph",6.9,2,69,7.7,1.7,76.6,0.001132
"Wanaparthy","epi",5.1,1.4,50.5,6.3,1.3,62.6,0
"Wanaparthy","gdm",4.4,1.4,43.9,5.1,1.3,50.6,4.3e-05
"Wanaparthy","hrt",7.4,1.7,74.3,7.7,1.2,77.1,0.1249
"Wanaparthy","htn",7.8,1.7,77.6,8.1,1.5,80.8,0.091895
"Wanaparthy","jau",4.7,1.8,46.7,7.5,1.4,75.2,0
"Wanaparthy","lscs",7.9,1.5,79.1,8.2,1.4,82.2,0.103107
"Wanaparthy","qanc",6.4,1.6,63.8,7.3,1.4,72.9,1e-06
"Wanaparthy","sob",6.1,1.6,61.1,7.3,1.2,72.8,0
"Wanaparthy","tb",6.1,1.7,60.6,6.3,1.5,63.3,0.190534
"Warangal Rural","ane",6.5,1.8,65.5,7.1,1.8,70.6,0.007646
"Warangal Rural","aph",6.4,1.9,64.1,6.6,2.1,66.4,0.234391
"Warangal Rural","epi",5.2,1.5,52.2,5.6,1.6,56.2,0.018107
"Warangal Rural","gdm",4.8,1.4,48.2,5.8,1.6,57.7,0
"Warangal Rural","hrt",7.4,1.7,73.6,7.3,1.8,73.5,0.924642
"Warangal Rural","htn",7.1,2.2,71.4,7.5,1.8,75.5,0.051221
"Warangal Rural","jau",3.7,1.4,37.2,6.1,2,61.4,0
"Warangal Rural","lscs",7.7,1.8,77.4,7.7,2,77.3,0.952806
"Warangal Rural","qanc",6.9,1.3,69,7.8,1.4,77.8,0
"Warangal Rural","sob",6.2,1.6,61.9,7,1.6,69.9,8e-06
"Warangal Rural","tb",5.5,1.8,55.2,5.8,2,57.7,0.232004
"Warangal Urban","ane",6.5,2,64.9,6.9,1.8,68.9,0.036714
"Warangal Urban","aph",6.9,2,69.2,7.7,1.9,76.9,4.7e-05
"Warangal Urban","epi",5.1,1.7,50.9,6.4,1.6,64.3,0
"Warangal Urban","gdm",4.8,1.4,48.3,6.1,1.7,61,0
"Warangal Urban","hrt",7.2,2.2,72.1,7.4,2,73.7,0.441133
"Warangal Urban","htn",6.7,2,67.1,7.4,1.9,73.8,0.000403
"Warangal Urban","jau",3.8,1.5,38.1,6.9,1.7,69.4,0
"Warangal Urban","lscs",7.2,2.2,72.1,7.9,2,78.9,0.000994
"Warangal Urban","qanc",7,1.5,69.7,7.9,1.4,79.1,0
"Warangal Urban","sob",6.2,1.7,62,7.4,1.6,73.6,0
"Warangal Urban","tb",5.4,2,54.1,6.2,1.7,62,2.6e-05
"Yadadri Bhuvanagiri","ane",6.3,1.9,63.2,7.2,1.7,71.6,6e-06
"Yadadri Bhuvanagiri","aph",6.5,2.1,64.8,8.4,1.4,83.9,0
"Yadadri Bhuvanagiri","epi",4.9,1.5,49.2,6,1.6,60.1,0
"Yadadri Bhuvanagiri","gdm",4.4,1.6,43.8,6.8,2.2,67.9,0
"Yadadri Bhuvanagiri","hrt",7.2,2.2,72,7.8,1.7,78,0.010555
"Yadadri Bhuvanagiri","htn",6.9,1.8,69.3,7.8,1.8,78.4,1e-06
"Yadadri Bhuvanagiri","jau",4,1.6,40,6.9,1.9,68.6,0
"Yadadri Bhuvanagiri","lscs",7.9,2,78.7,8.2,2.1,82.4,0.138337
"Yadadri Bhuvanagiri","qanc",6.8,1.7,67.6,7.8,1.6,77.9,0
"Yadadri Bhuvanagiri","sob",6.5,1.8,65.1,7.3,1.5,73,7e-05
"Yadadri Bhuvanagiri","tb",5.3,1.8,53.3,6.3,1.9,62.7,3.1e-05
"Overall Average","ane",6.7,1.9,66.7,7.5,1.8,75.2,NA
"Overall Average","aph",6.6,2.1,66.5,8.1,1.9,80.5,NA
"Overall Average","epi",5,1.7,49.8,5.8,1.7,58.5,NA
"Overall Average","gdm",4.8,1.6,47.9,6.6,2,65.7,NA
"Overall Average","hrt",7,2.1,70.4,7.4,1.9,74.1,NA
"Overall Average","htn",7,1.9,70.2,8,1.8,79.8,NA
"Overall Average","jau",4,1.6,40.1,6.5,1.9,64.6,NA
"Overall Average","lscs",7.4,2,74.5,7.9,1.9,79.2,NA
"Overall Average","qanc",7,1.7,69.8,8.1,1.5,81.3,NA
"Overall Average","sob",6.1,1.7,61.1,6.7,1.7,67.3,NA
"Overall Average","tb",5.3,1.9,53.4,6,1.9,59.6,NA
